"Country","x"
"Anguilla",1
"Antigua And Barbuda",1
"Australia",37
"Austria",2
"Bahamas",2
"Bahrain",1
"Bangladesh",1
"Belgium",35
"Bermuda",9
"Brazil",1
"Bulgaria",3
"Canada",15
"Cayman Islands",22
"China",11
"Comoros",1
"Curacao",1
"Cyprus",27
"Czech Republic",10
"Denmark",22
"Dominica",1
"Estonia",5
"Ethiopia",1
"Finland",7
"France",43
"Germany",78
"Ghana",1
"Gibraltar",8
"Greece",2
"Guernsey",71
"Hong Kong",19
"Hungary",1
"India",23
"Iraq",2
"Ireland",200
"Isle Of Man",44
"Israel",12
"Italy",43
"Japan",15
"Jersey",210
"Kazakhstan",1
"Kenya",1
"Kuwait",1
"Latvia",2
"Lebanon",2
"Liechtenstein",2
"Lithuania",2
"Luxembourg",19
"Malaysia",1
"Malta",20
"Marshall Islands",7
"Mauritius",4
"Morocco",1
"Nepal",1
"Netherlands",72
"New Zealand",6
"Nigeria",11
"Northern Ireland",1
"Norway",10
"Pakistan",4
"Panama",2
"Philippines",1
"Poland",5
"Portugal",5
"Puerto Rico",1
"Qatar",1
"Romania",2
"Russia",6
"Saint Kitts And Nevis",1
"Samoa",1
"Saudi Arabia",1
"Seychelles",2
"Singapore",13
"Slovakia",1
"South Africa",4
"South Korea",15
"Spain",20
"Sweden",23
"Switzerland",14
"Turkey",3
"Ukraine",1
"United Arab Emirates",16
"United Kingdom",1579497
"United States",160
"Virgin Islands, British",88
